Date/Time;Serial number;GPS longitude [°];GPS latitude [°];Total working hours counter [h];Engine speed [rpm];Engine load [%];Fuel consumption [l/h];Ground speed gearbox [km/h];Ground speed radar [km/h];Coolant temperature [°C];Speed front PTO [rpm];Speed rear PTO [rpm];current gear shift [];Ambient temperature [°C];Parking brake status [];Transverse differential lock status [];All-wheel drive status [];Actual status of creeper []
Mar 1, 2019 8:27:32 AM;A2302895;20.2969942;45.295101;873.34;809;35;5.9;0;0;13;0;0;NA;10.78;1;0;Automatic;NA
Mar 1, 2019 8:27:42 AM;A2302895;20.2970023;45.2950956;873.34;810;34;5.8;0;0;14;0;0;NA;10.78;1;0;Automatic;NA
Mar 1, 2019 8:27:52 AM;A2302895;20.2970018;45.2951004;873.35;810;33;5.65;0;0;14;0;0;NA;10.78;1;0;Automatic;NA
Mar 1, 2019 8:28:02 AM;A2302895;20.2970046;45.2951077;873.35;808;34;5.8;0;0;15;0;0;NA;10.88;1;0;Automatic;NA
Mar 1, 2019 8:28:12 AM;A2302895;20.2970047;45.2951113;873.35;811;31;5.35;0;0;16;0;0;NA;10.88;1;0;Automatic;NA
Mar 1, 2019 8:28:22 AM;A2302895;20.297005;45.2951146;873.36;914;38;7.95;0.23;0;17;0;0;NA;10.88;0;0;off;NA
Mar 1, 2019 8:28:32 AM;A2302895;20.2969836;45.2951346;873.36;1073;62;14.1;2.37;2.18;17;0;0;NA;10.88;0;0;off;NA
Mar 1, 2019 8:28:42 AM;A2302895;20.297102;45.2951379;873.36;903;22;4.05;3.19;3.19;19;0;0;NA;10.88;0;0;off;NA
Mar 1, 2019 8:28:52 AM;A2302895;20.2971154;45.295135;873.36;811;36;6.3;0;0;20;0;0;NA;10.88;0;0;off;NA
Mar 1, 2019 8:29:02 AM;A2302895;20.2971137;45.295131;873.37;811;29;5;0;0;21;0;0;NA;10.88;1;0;Automatic;NA
Mar 1, 2019 8:29:12 AM;A2302895;20.297117;45.2951287;873.37;810;30;4.95;0;0;22;0;0;NA;10.88;1;0;Automatic;NA
Mar 1, 2019 8:29:22 AM;A2302895;20.2971229;45.2951283;873.37;810;29;4.9;0;0;22;0;0;NA;10.88;1;0;Automatic;NA
Mar 1, 2019 8:29:32 AM;A2302895;20.2971241;45.2951271;873.37;810;29;5.05;0;0;23;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:29:42 AM;A2302895;20.2971234;45.2951285;873.38;810;29;4.85;0;0;24;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:29:52 AM;A2302895;20.2971216;45.2951296;873.38;811;29;4.75;0;0;24;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:30:02 AM;A2302895;20.2971198;45.2951344;873.38;811;29;4.85;0;0;25;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:30:12 AM;A2302895;20.2971161;45.2951408;873.39;809;29;4.8;0;0;25;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:30:22 AM;A2302895;20.2971154;45.2951436;873.39;810;29;4.85;0;0;26;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:30:34 AM;A2302895;20.2971122;45.2951443;873.39;810;29;4.75;0;0;26;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:30:44 AM;A2302895;20.2971101;45.2951477;873.39;833;30;5.2;0;0;27;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:30:54 AM;A2302895;20.2971124;45.2951465;873.4;811;28;4.6;0;0;28;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:31:04 AM;A2302895;20.2971092;45.2951471;873.4;809;29;4.7;0;0;28;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:31:14 AM;A2302895;20.2971102;45.2951476;873.4;810;28;4.6;0;0;29;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:31:24 AM;A2302895;20.2971115;45.295146;873.41;811;28;4.7;0;0;29;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:31:34 AM;A2302895;20.297113;45.2951469;873.41;810;28;4.5;0;0;29;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:31:44 AM;A2302895;20.2971157;45.2951457;873.41;810;28;4.7;0;0;30;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:31:54 AM;A2302895;20.2971175;45.295145;873.41;810;29;4.65;0;0;30;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:32:04 AM;A2302895;20.2971194;45.2951445;873.42;809;28;4.45;0;0;31;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:32:14 AM;A2302895;20.2971181;45.2951437;873.42;809;29;4.55;0;0;31;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:32:24 AM;A2302895;20.2971168;45.2951409;873.42;810;29;4.6;0;0;32;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:32:34 AM;A2302895;20.2971205;45.2951412;873.42;810;29;4.5;0;0;32;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:32:44 AM;A2302895;20.2971204;45.2951409;873.43;810;29;4.45;0;0;33;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:32:54 AM;A2302895;20.2971201;45.2951426;873.43;810;29;4.6;0;0;33;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:33:04 AM;A2302895;20.2971201;45.2951413;873.43;809;29;4.5;0;0;33;0;0;NA;11;1;0;Automatic;NA
Mar 1, 2019 8:33:14 AM;A2302895;20.2971211;45.2951431;873.44;810;29;4.5;0;0;34;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:33:24 AM;A2302895;20.2971203;45.295142;873.44;810;29;4.45;0;0;34;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:33:34 AM;A2302895;20.2971183;45.2951387;873.44;810;29;4.45;0;0;34;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:33:44 AM;A2302895;20.2971188;45.2951424;873.44;810;29;4.4;0;0;35;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:33:54 AM;A2302895;20.2971186;45.2951466;873.45;809;29;4.35;0;0;35;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:34:04 AM;A2302895;20.2971193;45.2951493;873.45;809;29;4.4;0;0;36;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:34:14 AM;A2302895;20.29712;45.2951487;873.45;810;29;4.5;0;0;36;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:34:24 AM;A2302895;20.2971198;45.2951474;873.46;808;29;4.45;0;0;36;0;0;NA;11.09;1;0;Automatic;NA
Mar 1, 2019 8:34:34 AM;A2302895;20.2971231;45.2951485;873.46;811;28;4.4;0;0;37;0;0;NA;11.09;1;0;Automatic;NA
